Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-30 20:30:00,6540.01,6586.32,6533.0,6571.86,364.860365,2018-09-30 20:44:59.999,2394070.18496238,2922,214.418079,1407297.07433683,0,0.0,-1.0,-1.0
2018-09-30 20:30:00,6540.01,6586.32,6533.0,6571.86,364.860365,2018-09-30 20:44:59.999,2394070.18496238,2922,214.418079,1407297.07433683,0,0.0,-1.0,-1.0
2018-09-30 20:45:00,6571.85,6588.21,6561.94,6580.85,185.671975,2018-09-30 20:59:59.999,1220727.64190848,1558,97.123746,638467.0454949,0,1.0,-1.0,-1.0
2018-09-30 21:00:00,6584.99,6595.0,6567.83,6568.78,229.449462,2018-09-30 21:14:59.999,1510297.54256473,1726,124.882149,822126.3452104,0,0.0,-1.0,-1.0
2018-09-30 21:15:00,6568.77,6585.03,6567.83,6575.89,240.70407,2018-09-30 21:29:59.999,1583388.48910886,1343,163.314053,1074380.5777119,0,0.0,-1.0,-1.0
2018-09-30 21:30:00,6576.86,6588.14,6573.12,6585.48,167.644339,2018-09-30 21:44:59.999,1102659.90321453,1198,75.266492,495117.78311126,0,1.0,-1.0,-1.0
2018-09-30 21:45:00,6585.48,6592.86,6582.37,6590.01,299.30455,2018-09-30 21:59:59.999,1971464.78919832,1507,151.014476,994705.95229076,0,1.0,-1.0,-1.0
2018-09-30 22:00:00,6591.45,6593.48,6580.0,6587.71,225.909547,2018-09-30 22:14:59.999,1488397.05605575,1228,107.0053,705022.97978767,0,0.0,-1.0,-1.0
2018-09-30 22:15:00,6587.71,6610.05,6586.23,6602.01,412.829199,2018-09-30 22:29:59.999,2724018.0237588,1907,269.209189,1776078.15149992,0,0.0,1.0,-1.0
2018-09-30 22:30:00,6602.02,6616.32,6595.01,6601.61,388.944727,2018-09-30 22:44:59.999,2569451.56536913,1505,174.787654,1154708.98409322,0,1.0,1.0,-1.0
2018-09-30 22:45:00,6602.24,6644.99,6602.24,6634.98,472.435247,2018-09-30 22:59:59.999,3132140.15545915,2029,263.16546,1744410.37229647,0,1.0,1.0,-1.0
2018-09-30 23:00:00,6638.61,6650.0,6621.0,6627.2,480.652293,2018-09-30 23:14:59.999,3189307.17307704,1982,295.21253,1958834.36803828,0,1.0,1.0,-1.0
2018-09-30 23:15:00,6628.09,6636.49,6621.77,6626.3,268.878023,2018-09-30 23:29:59.999,1782229.22838702,1330,153.492562,1017474.99317488,0,0.0,1.0,-1.0
2018-09-30 23:30:00,6628.97,6635.0,6613.01,6621.0,136.164357,2018-09-30 23:44:59.999,902345.33813862,1359,79.802753,528950.30747191,0,0.0,1.0,-1.0
